159952.417 2606496.936 -0.067
159959.614 2606496.365 -0.012
159961.984 2606496.61 0.09
159966.026 2606496.542 0.149
159973.798 2606499.011 0.188
159976.017 2606498.599 0.234
159980.826 2606497.556 0.293
159986.169 2606495.982 0.347
159993.942 2606496.464 0.418
159998.905 2606499.19 0.467
160001.391 2606497.582 0.548
160009.311 2606494.76 0.62
160011.466 2606494.973 0.686
160017.983 2606495.921 0.776
160025.12 2606495.481 0.85
160029.787 2606497.743 0.923
160033.591 2606494.827 0.992
160038.51 2606496.999 1.086
160043.605 2606494.499 1.192
160046.218 2606496.508 1.31
160052.464 2606495.359 1.452
160057.729 2606496.925 1.599
160062.857 2606497.402 1.814
160068.744 2606498.399 2.025
160070.675 2606498.968 2.189
160075.707 2606498.466 2.098
160083.476 2606494.563 2.048
160088.306 2606498.665 1.718
160095.284 2606498.691 1.746
160098.888 2606498.179 1.819
160102.973 2606496.566 2.037
160108.637 2606499.16 2.338
160112.561 2606497.04 2.271
160119.832 2606498.763 2.17
160124.265 2606497.392 2.521
160128.57 2606494.478 2.594
160133.648 2606496.799 2.675
160138.998 2606498.035 2.598
160141.617 2606494.609 2.264
160148.446 2606498.018 2.642
160152.762 2606495.619 2.856
160157.948 2606499.332 2.322
160162.909 2606494.773 2.058
160168.88 2606495.103 2.151
160174.688 2606499.014 2.135
160178.226 2606494.87 2.356
160184.201 2606495.26 2.315
160187.107 2606496.274 2.304
160190.858 2606498.186 2.337
160198.498 2606495.232 1.418
160203.431 2606495.593 1.14
160205.92 2606496.835 1.063
160214.14 2606494.882 1.003
160217.11 2606494.855 0.934
160224.79 2606496.452 0.888
160226.232 2606498.751 0.843
160235.168 2606494.974 0.804
160239.92 2606498.449 0.753
160242.959 2606499.211 0.709
160245.648 2606495.111 0.705
160251.159 2606496.791 0.636
160258.12 2606494.469 0.517
160264.583 2606499.185 0.505
160267.476 2606495.86 0.46
160271.913 2606496.067 0.403
160277.658 2606497.016 0.319
160282.17 2606498.697 0.233
160286.742 2606494.834 0.14
160291.746 2606496.545 0.07
160297.986 2606498.436 -0.004
160302.599 2606496.818 -0.063
162048.375 2606497.621 -0.052
162054.647 2606496.629 0.105
162059.622 2606494.688 0.119
162064.775 2606496.373 0.333
162067.806 2606496.723 0.7
162072.903 2606496.118 0.546
162075.772 2606496.616 0.203
162082.132 2606498.125 2.147
162085.567 2606497.924 2.366
162090.927 2606496.591 2.284
162096.471 2606496.623 2.411
162101.843 2606497.744 2.43
162109.128 2606497.423 2.44
162113.996 2606496.853 2.453
162118.49 2606497.239 2.49
162120.378 2606497.514 2.536
162128.215 2606496.914 2.536
162132.928 2606497.024 2.564
162137.332 2606496.407 2.578
162144.249 2606495.38 2.606
162147.527 2606495.366 2.625
162150.371 2606498.104 2.663
162159.237 2606496.757 2.691
162161.938 2606496.61 2.715
162166.243 2606496.595 2.766
162175.095 2606498.755 2.42
162176.189 2606494.596 2.495
162184.744 2606497.484 2.441
162186.317 2606497.783 2.433
162193.759 2606498.216 2.421
162200.074 2606496.319 2.415
162200.396 2606495.217 2.409
162208.627 2606496.176 2.411
162212.759 2606494.568 2.445
162219.818 2606496.873 2.822
162222.152 2606497.431 0.882
162227.968 2606495.634 0.178
162231.722 2606499.328 -0.029
162237.02 2606494.578 -0.132
162240.689 2606495.135 -0.17
162246.9 2606496.038 -0.12
159926.339 2606490.449 -0.152
159930.631 2606492.863 -0.154
159937.612 2606489.695 -0.224
159945.284 2606490.521 -0.171
159945.64 2606490.766 -0.117
159955.229 2606492.693 -0.071
159959.996 2606492.245 0.015
159961.135 2606489.711 0.079
159968.605 2606491.091 0.144
159972.561 2606492.413 0.178
159978.602 2606493.441 0.237
159984.201 2606490.017 0.296
